id,id_municipio,id_microrregiao,id_mesorregiao,id_estado,nome
170600105,1706001,17003,1701,17,Couto Magalhães
170610005,1706100,17004,1701,17,Cristalândia
170625805,1706258,17005,1701,17,Crixás do Tocantins
170650605,1706506,17001,1701,17,Darcinópolis
170700905,1707009,17008,1702,17,Dianópolis
170710805,1707108,17003,1701,17,Divinópolis do Tocantins
170720705,1707207,17003,1701,17,Dois Irmãos do Tocantins
170730605,1707306,17004,1701,17,Dueré
170740505,1707405,17001,1701,17,Esperantina
170755305,1707553,17004,1701,17,Fátima
170765205,1707652,17005,1701,17,Figueirópolis
170770205,1707702,17002,1701,17,Filadélfia
170770210,1707702,17002,1701,17,Bielândia
170820505,1708205,17004,1701,17,Formoso do Araguaia
170825405,1708254,17003,1701,17,Fortaleza do Tabocão
170830405,1708304,17003,1701,17,Goianorte
170900505,1709005,17007,1702,17,Goiatins
170900510,1709005,17007,1702,17,Cartucho
170900515,1709005,17007,1702,17,Craolândia
170930205,1709302,17003,1701,17,Guaraí
170930210,1709302,17003,1701,17,Mirandópolis
170950005,1709500,17005,1701,17,Gurupi
170980705,1709807,17006,1702,17,Ipueiras
171050805,1710508,17007,1702,17,Itacajá
171070605,1710706,17001,1701,17,Itaguatins
171090405,1710904,17007,1702,17,Itapiratins
171110005,1711100,17003,1701,17,Itaporã do Tocantins
171150605,1711506,17005,1701,17,Jaú do Tocantins
171180305,1711803,17003,1701,17,Juarina
171190205,1711902,17004,1701,17,Lagoa da Confusão
